Renderer: NVIDIA GeForce RTX 3090/PCIe/SSE2 by NVIDIA Corporation
OpenGL version: 4.6.0 NVIDIA 570.133.07
Using optional features:
    GL_ARB_vertex_array_object
    GL_ARB_separate_shader_objects
    GL_ARB_robustness
    GL_ARB_texture_storage
    GL_ARB_texture_view
    GL_ARB_framebuffer_no_attachments
    GL_ARB_invalidate_subdata
    GL_ARB_texture_storage_multisample
    GL_ARB_multi_bind
    GL_ARB_direct_state_access
    GL_ARB_get_texture_sub_image
    GL_ARB_texture_filter_anisotropic
    GL_KHR_debug
    GL_KHR_parallel_shader_compile
    GL_NV_depth_buffer_float
Using driver workarounds:
    no-forward-compatible-core-context
    nv-egl-incorrect-gl11-function-pointers
    no-layout-qualifiers-on-old-glsl
    nv-zero-context-profile-mask
    nv-implementation-color-read-format-dsa-broken
    nv-cubemap-inconsistent-compressed-image-size
    nv-cubemap-broken-full-compressed-image-query
    nv-compressed-block-size-in-bits
[18:16:15:674754]:[Warning]:[Metadata] SceneDatasetAttributes.cpp(107)::addNewSceneInstanceToDataset : Dataset : 'default' : Lighting Layout Attributes 'no_lights' specified in Scene Attributes but does not exist in dataset, so creating default.
ep  0 id=     7: steps= 35 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep  1 id=    11: steps= 16 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep  2 id=    13: steps= 56 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep  3 id=    40: steps=125 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep  4 id=    42: steps=115 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  5 id=    52: steps=106 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  6 id=    70: steps=120 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  7 id=    94: steps= 93 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep  8 id=   116: steps=143 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  9 id=   140: steps= 56 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 10 id=   150: steps=182 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
