Renderer: NVIDIA GeForce RTX 3090/PCIe/SSE2 by NVIDIA Corporation
OpenGL version: 4.6.0 NVIDIA 570.133.07
Using optional features:
    GL_ARB_vertex_array_object
    GL_ARB_separate_shader_objects
    GL_ARB_robustness
    GL_ARB_texture_storage
    GL_ARB_texture_view
    GL_ARB_framebuffer_no_attachments
    GL_ARB_invalidate_subdata
    GL_ARB_texture_storage_multisample
    GL_ARB_multi_bind
    GL_ARB_direct_state_access
    GL_ARB_get_texture_sub_image
    GL_ARB_texture_filter_anisotropic
    GL_KHR_debug
    GL_KHR_parallel_shader_compile
    GL_NV_depth_buffer_float
Using driver workarounds:
    no-forward-compatible-core-context
    nv-egl-incorrect-gl11-function-pointers
    no-layout-qualifiers-on-old-glsl
    nv-zero-context-profile-mask
    nv-implementation-color-read-format-dsa-broken
    nv-cubemap-inconsistent-compressed-image-size
    nv-cubemap-broken-full-compressed-image-query
    nv-compressed-block-size-in-bits
[18:18:47:589156]:[Warning]:[Metadata] SceneDatasetAttributes.cpp(107)::addNewSceneInstanceToDataset : Dataset : 'default' : Lighting Layout Attributes 'no_lights' specified in Scene Attributes but does not exist in dataset, so creating default.
ep  0 id=   198: steps= 71 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  1 id=   311: steps=382 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=1/1 OK
ep  2 id=   377: steps= 42 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  3 id=   683: steps=218 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=1/1 OK
ep  4 id=   886: steps=  7 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  5 id=   901: steps= 24 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  6 id=   912: steps=  3 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  7 id=  1108: steps=186 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  8 id=  1109: steps=194 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep  9 id=  1196: steps= 64 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 10 id=  1575: truth hole (dtg=inf); ours dtg=inf valid=False
ep 11 id=  1719: steps=186 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 12 id=  1866: steps= 28 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 13 id=  1914: steps=500 stop=0 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 14 id=  2175: steps=136 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 15 id=  2220: steps=132 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=1/1 OK
ep 16 id=  2258: steps= 20 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 17 id=  2264: steps=113 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 18 id=  2274: steps=232 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 19 id=  2463: steps= 97 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 20 id=  2485: steps= 52 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=1/1 OK
ep 21 id=  2561: steps=154 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 22 id=  2638: steps= 51 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
